阏#iêng1	iang1
闲#oin5	ain5
閑#oin5	ain5
鼹#iêng2	iang2
窅#miou6	miao6
别#biêg8	biag8
斑#boin1	bain1
瘢#boin1	bain1
癍#boin1	bain1
反#huêng2	huang2
反#boin2	bain2
板#boin2	bain2
版#boin2	bain2
爿#boin5	bain5
爿#puêng5	puang5
畔#puêng3	puang3
畔#boin5	bain5
扮#buêng6	buang6
瓶#ping5	pêng5
缾#ping5	pêng5
毕#big8	biag8
哔#big4	bêg4
荜#big4	bêg4
筚#big8	biag8
跸#big8	biag8
彆#biêg8	biag8
蹩#biêg8	biag8
边#biêng1	biang1
辺#biêng1	biang1
邠#bing1	biang1
砭#ping2	pêng2
砭#biêng1	biang1
宾#bing1	biang1
彬#bing1	biang1
笾#biêng1	biang1
揙#biêng1	biang1
傧#bing1	biang1
斌#bing1	biang1
萹#biêng1	biang1
萹#biêng2	biang2
煸#biêng1	biang1
煸#piêng1	piang1
缤#bing1	biang1
滨#bing1	biang1
箯#biêng1	biang1
镔#bing1	biang1
鳊#biêng1	biang1
豳#bing1	biang1
鞭#biêng1	biang1
贬#ping2	pêng2
贬#biêng2	biang2
扁#biêng2	biang2
扁#piêng1	piang1
匾#biêng2	biang2
匾#bing2	bêng2
𡎚#biêng2	biang2
惼#biêng2	biang2
稨#biêng2	biang2
褊#biêng2	biang2
碥#biêng2	biang2
藊#biêng2	biang2
变#biêng3	biang3
徧#biêng3	biang3
髌#bing3	biang3
卞#biêng6	biang6
弁#biêng6	biang6
汴#biêng6	biang6
抃#biêng6	biang6
忭#biêng6	biang6
苄#biêng6	biang6
釆#biêng6	biang6
昪#biêng6	biang6
窆#ping2	pêng2
便#biêng6	biang6
便#piêng1	piang1
缏#biêng6	biang6
缏#piêng5	piang5
艑#biêng6	biang6
辨#biêng6	biang6
辩#biêng6	biang6
瓣#piêng3	piang3
瓣#biêng6	biang6
表#biou2	biao2
表#biê1	bio1
表#biê2	bio2
俵#biou2	biao2
俵#biê3	bio3
莩#biou2	biao2
婊#biou2	biao2
殍#biou2	biao2
覅#biou3	biao3
必#big4	bêg4
苾#big4	bêg4
珌#big4	bêg4
柲#big4	bêg4
铋#big4	bêg4
笔#big4	bêg4
𤷗#big4	bêg4
滗#big4	bêg4
駜#big4	bêg4
觱#big4	bêg4
𤺓#big4	bêg4
乒#bing1	bêng1
槟#bing1	bêng1
殡#bing1	bêng1
品#bing2	bêng2,pêng2
屏#ping5	pêng5
屏#bing2	bêng2
摒#bing2	bêng2
禀#bing2	bêng2
榀#bing2	bêng2
摈#bing3	beng3
嫔#bing3	bêng3
嫔#ping5	pêng5
膑#bing3	bêng3
鬓#bing3	bêng3
骉#biê1	bio1
标#piou1	piao1
标#biê1	bio1
猋#biê1	bio1
猋#piou1	piao1
幖#biê1	bio1
熛#biê1	bio1
麃#biê1	bio1
麃#piou1	piao1
膘#biê1	bio1,piao1
飙#piou1	piao1
飙#biê1	bio1
镖#biê1	bio1
飚#biê1	bio1
飚#piou1	piao1
褾#biê1	bio1
穮#biê1	bio1
穮#piou1	piao1
镳#biê1	bio1
𦔩#biê1	bio1
𦔩#piou1	piao1
飇#biê1	bio1
飇#piou1	piao1
裱#biê3	bio3
漂#piou1	piao1
漂#biê3	bio3
漂#piou3	piao3
般#puêng5	puang5
拔#buêg8	buag8
孛#buêg8	buag8
茇#buêg8	buag8
勃#buêg8	buag8
胈#buêg8	buag8
哱#buêg8	buag8
悖#buêg8	buag8
荸#buêg8	buag8
饽#buêg8	buag8
钹#buêg8	buag8
浡#buêg8	buag8
菝#buêg8	buag8
桲#buêg8	buag8
脖#buêg8	buag8
葧#buêg8	buag8
鹁#buêg8	buag8
跋#buêg8	buag8
渤#buêg8	buag8
軷#buêg8	buag8
鲅#buêg8	buag8
鲌#buêg8	buag8
魃#buêg8	buag8
馞#buêg8	buag8
鼥#buêg8	buag8
靽#puêng3	puang3
盘#puêng5	puang5
槃#puêng5	puang5
叛#buêng6	buang6
猫#ngiou1	ngiao1
密#mig8	mêg8
淧#bhig8	bhêg8
蜜#bhig8	bhêg8
蜜#mig8	mêg8
苗#miou5	miao5
苗#bhiê5	bhio5
描#miou5	miao5
描#bhiê5	bhio5
瞄#bhiê5	bhio5
瞄#miou5	miao5
庙#bhiê7	bhio7
舞#mong6	mou6
瞀#mong3	mou3
末#muêg8	muag8
沫#muêg8	muag8
秣#muêg8	muag8
缦#bhuêng6	muang6
熳#bhuêng6	muang6
幔#bhuêng6	muang6
馒#bhuêng6	muang6
鬘#bhuêng6	muang6
万#bhuêng7	bhuang7
卍#bhuêng7	bhuang7
卐#bhuêng7	bhuang7
旻#ming5	mêng5
旼#ming5	mêng5
尾#bhuê2	mai2
韈#bhuêh8	ghuêh8
啜#cuêg4	cuag4
千#coin1	cain1
仟#coin1	cain1
筅#coin2	cain2
蚕#coin5	cain5
欃#cam5	cang5
抢#ciên2	cion2
蒇#tiêng2	tiang2
田#tiêng5	tiang5
缲#ciou1	ciao1
穿#cuêng1	cuang1
耻#cin2	ci2
切#ciêg4	ciag4
沏#ciêg4	ciag4
雀#ziouh4	ziaoh4
趄#ciêg4	ciag4
勺#siêh8	sioh8
纤#ciêng1	ciang1
阡#ciêng1	ciang1
迁#ciêng1	ciang1,ciang1
扦#ciêng1	ciang1
芊#ciêng1	ciang1
钎#ciêng1	ciang1
跹#ciêng1	ciang1
鲳#ciên1	cion1
䤌#ciên1	cion1
韆#ciêng1	ciang1
浅#ciêng2	ciang2
浅#ziêng1	ziang1
燀#ciêng2	ciang2
唱#ciê3	cio3
长#diên2	dion2
场#diên5	dion5
常#siên5	sion5
弨#ciou1	ciao1
弨#ziou1	ziao1
悄#ciou2	ciao2
悄#ciou1	ciao1
锹#ciou1	ciao1
鍫#ciou1	ciao1
陗#ciou2	ciao2
诮#ciou2	ciao2
俏#ciou2	ciao2
帩#ciou2	ciao2
峭#ciou2	ciao2
偢#ciou2	ciao2
稍#ciou2	ciao2
稍#siou1	siao1
湫#ciou2	ciao2
愀#ciou2	ciao2
嘲#ciou2	ciao2
謿#ciou2	ciao2
晁#ciou5	ciao5
朝#ciou5	ciao5
朝#ziou1	ziao1
鼌#ciou5	ciao5
瞧#ciou5	ciao5
七#cig4	cêg4
拭#cig4	cêg4
柒#cig4	cêg4
揤#cig4	cêg4
鲜#siêng1	siang1
鲜#siêng2	siang2
亲#cing1	cêng1
衬#cing3	cêng3
秤#cing3	cêng3
称#cing3	cêng3
龀#cing3	cêng3
凊#cing3	cêng3
榇#cing3	cêng3
𩇟#cing3	cêng3
臣#cing5	cêng5
陈#ting5	têng5
陈#cing5	cêng5
陈#ding5	dêng5
秦#cing5	cêng5
覃#cing5	cêng5
嗪#cing5	cêng5
溱#zing1	zêng1
溱#cing5	cêng5
螓#cing5	cêng5
咲#ciê3	cio3
笑#ciê3	cio3
尺#ciêh4	cioh4
呎#ciêh4	cioh4
淖#ciêh4	cioh4
鶒#ciêh4	cioh4
席#ciêh8	cioh8
蓆#ciêh8	cioh8
枪#ciên1	cion1
鎗#ciên1	cion1
墙#ciên5	cion5
鲿#ciên5	cion5
牆#ciên5	cion5
象#ciên6	cion6
绱#ciên6	cion6
像#ciên6	cion6
像#siên3	sion3
橡#ciên6	cion6
蟓#ciên6	cion6
撮#cuêg4	cuag4
拙#zuêg4	zuag4
茁#zuêg4	zuag4
咄#zuêg4	zuag4
惙#cuêg4	cuag4
缀#cuêg4	cuag4
掇#cuêg4	cuag4
辍#cuêg4	cuag4
裰#cuêg4	cuag4
醊#zuêg4	zuag4
蕞#cuêg4	cuag4
錣#zuêg4	zuag4
歠#cuêg4	cuag4
嚽#cuêg4	cuag4
鳝#siêng6	siang6
川#cuêng1	cuang1
氚#cuêng1	cuang1
钏#cuêng3	cuang3
钏#cuêng1	cuang1
皴#cuêng1	cuang1
舛#cuêng2	cuang2
荈#cuêng2	cuang2
喘#cuêng2	cuang2
僢#cuêng2	cuang2
踳#cuêng2	cuang2
闯#cuêng3	cuang3
串#cuêng3	cuang3
窜#cuêng3	cuang3
撺#cuêng3	cuang3
篡#cuêng3	cuang3
篹#zuêng6	zuang6
篹#ruêng2	ruang2
篹#cuêng3	cuang3
镩#cuêng3	cuang3
蹿#cuêng3	cuang3
纂#ruêng2	ruang2
纂#cuêng3	cuang3
𥎝#cuêng3	cuang3
巑#cuêng3	cuang3
爨#cuêng3	cuang3
全#cuêng5	cuang5
佺#cuêng5	cuang5
诠#cuêng5	cuang5
荃#cuêng5	cuang5
拴#cuêng5	cuang5
悛#cuêng5	cuang5
栓#cuêng5	cuang5
辁#cuêng5	cuang5
牷#cuêng5	cuang5
铨#cuêng5	cuang5
痊#cuêng5	cuang5
筌#cuêng5	cuang5
醛#cuêng5	cuang5
伸#sing1	sêng1
抻#diêng2	diang2
觅#mig8	mêg8
覓#mig8	mêg8
佃#doin6	dain6
佃#tiêng5	tiang5
𠕇#doin7	dain7
殿#doin7	dain7
殿#diêng6	diang6
橂#doin7	dain7
靛#doin7	dain7
靛#diêng6	diang6
癜#doin7	dain7
癜#diêng6	diang6
石#ziêh8	zioh8
石#sig8	sêg8
石#siêh8	sioh8
