阏#iêng1	iang1
猰#ag4	iag4
鼹#iêng2	iang2
窅#miou6	miao6
叭#ba1	ba5
别#biêg8	biag8
反#huêng2	huang2
爿#puêng5	puang5
畔#puêng3	puang3
枫#bang1	bung1
扮#buêng6	buang6
饭#huêng6	huang6
彆#biêg8	biag8
蹩#biêg8	biag8
边#biêng1	biang1
辺#biêng1	biang1
砭#biêng1	biang1
笾#biêng1	biang1
揙#biêng1	biang1
萹#biêng1	biang1
萹#biêng2	biang2
煸#biêng1	biang1
煸#piêng1	piang1
箯#biêng1	biang1
鳊#biêng1	biang1
鞭#biêng1	biang1
贬#biêng2	biang2
扁#biêng2	biang2
扁#piêng1	piang1
匾#biêng2	biang2
𡎚#biêng2	biang2
惼#biêng2	biang2
稨#biêng2	biang2
褊#biêng2	biang2
碥#biêng2	biang2
藊#biêng2	biang2
变#biêng3	biang3
遍#biêng3	biang3
徧#biêng3	biang3
卞#biêng6	biang6
弁#biêng6	biang6
汴#biêng6	biang6
抃#biêng6	biang6
忭#biêng6	biang6
苄#biêng6	biang6
釆#biêng6	biang6
昪#biêng6	biang6
便#biêng6	biang6
便#piêng1	piang1
缏#biêng6	biang6
缏#piêng5	piang5
艑#biêng6	biang6
辨#biêng6	biang6
辩#biêng6	biang6
瓣#piêng3	piang3
瓣#biêng6	biang6
表#biou2	biao2
表#biê1	bio1
表#biê2	bio2
俵#biou2	biao2
俵#biê3	bio3
莩#biou2	biao2
婊#biou2	biao2
殍#biou2	biao2
覅#biou3	biao3
骉#biê1	bio1
标#piou1	piao1
标#biê1	bio1
猋#biê1	bio1
猋#piou1	piao1
幖#biê1	bio1
熛#biê1	bio1
麃#biê1	bio1
麃#piou1	piao1
膘#biê1	bio1,piao1
飙#piou1	piao1
飙#biê1	bio1
镖#biê1	bio1
飚#biê1	bio1
飚#piou1	piao1
褾#biê1	bio1
穮#biê1	bio1
穮#piou1	piao1
镳#biê1	bio1
𦔩#biê1	bio1
𦔩#piou1	piao1
飇#biê1	bio1
飇#piou1	piao1
裱#biê3	bio3
漂#piou1	piao1
漂#biê3	bio3
漂#piou3	piao3
般#puêng5	puang5
拔#buêg8	buag8
孛#buêg8	buag8
茇#buêg8	buag8
勃#buêg8	buag8
胈#buêg8	buag8
哱#buêg8	buag8
悖#buêg8	buag8
荸#buêg8	buag8
饽#buêg8	buag8
钹#buêg8	buag8
浡#buêg8	buag8
菝#buêg8	buag8
桲#buêg8	buag8
脖#buêg8	buag8
葧#buêg8	buag8
鹁#buêg8	buag8
跋#buêg8	buag8
渤#buêg8	buag8
軷#buêg8	buag8
鲅#buêg8	buag8
鲌#buêg8	buag8
魃#buêg8	buag8
馞#buêg8	buag8
鼥#buêg8	buag8
靽#puêng3	puang3
盘#puêng5	puang5
槃#puêng5	puang5
叛#buêng6	buang6
疿#bui3	bhui3
痱#bui3	bhui3
猫#ngiou1	ngiao1
苗#miou5	miao5
苗#bhiê5	bhio5
描#miou5	miao5
描#bhiê5	bhio5
瞄#bhiê5	bhio5
瞄#miou5	miao5
庙#bhiê7	bhio7
舞#mong6	mou6
瞀#mong3	mou3
末#muêg8	muag8
沫#muêg8	muag8
秣#muêg8	muag8
曼#bhuêng6	bhuang6,bhuang2
谩#bhuêng6	bhuang6,bhuang2
嫚#bhuêng6	bhuang6,bhuang2
缦#bhuêng6	bhuang6,bhuang2
漫#bhuêng6	bhuang6,bhuang2
墁#bhuêng6	bhuang6,bhuang2
熳#bhuêng6	bhuang6,bhuang2
慢#bhuêng6	bhuang6
蔓#bhuêng6	bhuang6
幔#bhuêng6	bhuang6
馒#bhuêng6	bhuang6
镘#bhuêng6	bhuang6
鬘#bhuêng6	bhuang6
万#bhuêng7	bhuang7
卍#bhuêng7	bhuang7
卐#bhuêng7	bhuang7
凭#bêng5	pêng5
尾#bhuê2	mai2
袜#bhuêh8	ghuêh8
韤#bhuêh8	ghuêh8
韈#bhuêh8	ghuêh8
刹#sab8	sag8
啜#cuêg4	cuag4
羼#cam3	cang3
抢#ciên2	cion2
蒇#tiêng2	tiang2
田#tiêng5	tiang5
缲#ciou1	ciao1
穿#cuêng1	cuang1
耻#cin2	ci2
窃#ciab4	ciag4
切#ciêg4	ciag4
沏#ciêg4	ciag4
雀#ziouh4	ziaoh4
趄#ciêg4	ciag4
勺#siêh8	sioh8
纤#ciêng1	ciang1
阡#ciêng1	ciang1
迁#ciêng1	ciang1
扦#ciêng1	ciang1
芊#ciêng1	ciang1
钎#ciêng1	ciang1
跹#ciêng1	ciang1
鲳#ciên1	cion1
䤌#ciên1	cion1
韆#ciêng1	ciang1
浅#ciêng2	ciang2
浅#ziêng1	ziang1
燀#ciêng2	ciang2
唱#ciê3	cio3
长#diên2	dion2
场#diên5	dion5
常#siên5	sion5
弨#ciou1	ciao1
弨#ziou1	ziao1
悄#ciou2	ciao2
悄#ciou1	ciao1
锹#ciou1	ciao1
鍫#ciou1	ciao1
陗#ciou2	ciao2
诮#ciou2	ciao2
俏#ciou2	ciao2
帩#ciou2	ciao2
