这|者
这里|衹块
这些|衹撮
这是|者是
这样|衹样
那些|兮些
那里|兮块
这位|衹主
这个|衹个
怎么样|乜些样
这一次|衹一次
这条|衹条
这轮|衹轮
这样做|照些做
到底是|吤是
怎么回事|做尼
同样|平样
的|介
地|介
曾|𧧸
不认识|唔𧧸
和|佮
与|佮
谈|诐
聊|诐
绳子|索
玩耍|𨑨迌
两半|二爿
说|呾
但|是呾
但是|是呾
跟着|缀
每天|每日
讲|呾
要|欲
什么时候|𠶧时
什么|乜个
以前|许𠶧时
小时候|细𠶧时
是谁|底𠶧
我们|阮
咱们|俺
自己|家己
自己人|家己人
睡|夗
粥|糜
喝粥|食糜
砂锅粥|砂锅糜
好多|好㩼
许多|好㩼
能够|有变
无法|无变
没办法|无变
没有办法|无变
没有|无
没|无
找|觅
寻找|寻觅
一些个|零个
一些|一撮
天上|天顶
回来|返来
回去|返去
小|细
缩小|缩细
他|伊
她|𡛂
它|吚
打|拍
奶奶|阿嬷
下雨|落雨
下来|落来
干净|清气
爱干净|清气相
乱说|四散呾
乱搞|四散物
乱来|四散来
有条理|四正
天气冷|天时凝
转动|纺
开荤|开臊
腥|臊
快|猛
拿|𢭪
站|徛
蹲|跍
很像|好然
半蹲|半跍徛
站直|徛直
做完|做直
累|乏
家|内
回家|返内
天亮|天光
擦|拭
不|𠀾
不难|𠀾僫
不单|唔单
不会|𠀾
不久|𠀾久
一点|滴囝
小不点|滴囝奶
差点|险险
差一点|绌滴囝
像|然
一起|做一下,做倵
水边|水墘
路边|路墘
溪边|溪墘
海边|海墘
边|畔
旁|畔
旁边|旁边
乱|荋
晕|眩
很|好%过
太|过
显赫|叻
多少|若㩼
多久|若久
全都|拢总
都|拢
都是|拢是%尽是
乖|𠢕
夸奖|哦啰
躲|坫%沕
最|尚
赌博|跋钱
跌倒|跋落
掉下|跤落
掉落|跤落
下去|落去
相识|相察
帮忙|相辅
自以为是|𠿬做是
自以为|𠿬做
怼|詏
争论|斗詏
那么|𠯋
那么1|𠀒
追|趭
拉|𠡒
吐痰|啡涎
流口水|流涎
口水|喙涎
切菜|截菜
提手旁|挑手畔
瘦|㾪
瘦猴|㾪猴
瘦骨嶙峋|㾪髂㾪髂
仔细看|䀛
喝|噜
喝水|食水
肚子饿|肚枵%肚困
铁锹|沙挑
铲子|沙挑
鸡毛掸子|鸡毛筅
大家|大家人
他们|伊人
们|伙
中午|日昼
早上|眠起早
上午|眠早
明天|明日
明早|明眠早
今天|今日
今晚|今夜
晚上|暝囝
夫妻|翁姐
小姐|小姐
后面|后畔
背后|后畔
屋子|厝
攒钱|积钱
蘸|揾
剪掉|铰掉
剪头发|铰毛
剪刀|铰刀
差得远|铰螺
更多|愈更㩼
越来越|愈来愈
越来越多|愈来愈㩼
突然|骤然
玩手机|蔑手机%耍手机
厕所|东司
粪坑|东司空
屁股|尻仓
难|僫
够了|𤰉了
够用|𤰉用
田里|垟中
几层楼|几沿楼
跨过去|伐过去
垃圾|㘰粪
不少|𠀾少
不好|孬
不错|𠀾孬
莫|孬
地上|塗下%塗骹
车轮|车辇
瞪|盺
年轻人|后生囝
给面子|畀面
很硬|好𠕇
回南天|风淫
湿漉漉|㴷㴷
装死|诈死
松动|振动
嚼烂|哺糜
咀嚼|哺
嚼|哺
手提箱|咭哔
哪个|底个
哪里|底块
等一下|加下
头一回|头下
下午|下旰
矮小|矮细
矮子|矮囝
光头|光卵
很亮|好光
一口气|一气头
斗笠|葵笠
剃须刀|剴须刀
一块田|一丘田
听天由命|听兴衰
球拍|球板
孑孓|蛆
口腔溃疡|生蛆
掉皮|爆皮
